PID,Gender,Race,Age,Born US,Education,EQ,AQ
PID076,Female,Asian,19,No,"Some college credit, no degree",131,20
PID077,Female,Asian,22,Yes,"Associate degree (for example: AA, AS)",124,21
PID078,Female,Asian,22,No,"Bachelor's degree (for example: BA, AB, BS)",148,28
PID079,Female,White / Caucasian,22,No,"High school graduate, diploma or the equivalent (for example: GED)",142,20
PID080,Female,White / Caucasian,20,Yes,"Some college credit, no degree",144,16
PID081,Female,Asian,18,Yes,"Some college credit, no degree",115,26
PID082,Male,White / Caucasian,21,Yes,"Associate degree (for example: AA, AS)",141,18
PID083,Female,Asian,21,Yes,"High school graduate, diploma or the equivalent (for example: GED)",125,18
PID084,Female,Asian,22,No,"Bachelor's degree (for example: BA, AB, BS)",138,16
PID085,Female,Hispanic/ Latinx,19,Yes,"Associate degree (for example: AA, AS)",143,7
PID087,Male,Hispanic/ Latinx,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",117,17
PID088,Female,Asian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",126,22
PID089,Male,Asian Indian,20,No,"Some college credit, no degree",125,16
PID090,Male,Asian,22,Yes,"Bachelor's degree (for example: BA, AB, BS)",118,16
PID091,Male,Hispanic/ Latinx,21,Yes,"High school graduate, diploma or the equivalent (for example: GED)",122,11
PID092,Female,Asian,20,No,"Some college credit, no degree",128,20
PID093,Female,Asian,22,Yes,"Bachelor's degree (for example: BA, AB, BS)",121,14
PID094,Female,Asian,21,No,"Bachelor's degree (for example: BA, AB, BS)",127,11
PID095,Female,Asian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",124,19
PID096,Male,Asian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",121,20
PID097,Female,Asian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",108,15
PID098,Female,White / Caucasian,20,Yes,"High school graduate, diploma or the equivalent (for example: GED)",142,22
