PID,Gender,Age,Born US,Education,EQ,AQ
BF004,Male,23,Yes,"Bachelor's degree (for example: BA, AB, BS)",99,24
BF037,Male,23,Yes,"Associate degree (for example: AA, AS)",130,9
BF024,Male,24,No,"Associate degree (for example: AA, AS)",131,22
BF075,Male,24,No,"Associate degree (for example: AA, AS)",130,10
3034127113,Female,24,Yes,"Some college credit, no degree",114,20
BF029,Female,24,No,"Bachelor's degree (for example: BA, AB, BS)",119,15
BF017,Male,27,Yes,"Some college credit, no degree",136,18
BF053,Male,28,Yes,"Associate degree (for example: AA, AS)",135,21
BF028,Female,28,Yes,"Associate degree (for example: AA, AS)",143,18
BF016,Female,32,No,"Some college credit, no degree",98,32
BF070,Female,32,No,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",136,21
BF071,Male,37,Yes,"Some college credit, no degree",155,26
BF010,Non-binary/non-conforming,37,Yes,"Associate degree (for example: AA, AS)",143,10
BF104,Male,43,Yes,"Associate degree (for example: AA, AS)",145,22
